,logFC,AveExpr,t,P.Value,adj.P.Val,B
SEMG1,-0.0625163286958657,3.67375011265512,-3.464573555903,0.00071244174608029,0.00133121114313219,-1.68693460143267
HSPA14,0.169676451349304,7.24631732487944,3.46393741099634,0.00071398946762645,0.00133391866947352,-1.68896605432301
LIFR,-0.181901873543798,4.40351587256076,-3.46350784751533,0.000715036368750259,0.00133568991342913,-1.69033763767427
NDEL1,-0.126229326281886,7.98473975528719,-3.46271445455516,0.000716973761242687,0.00133912387827459,-1.69287054377209
PNKP,0.1562613939465,6.69862407034958,3.46243219134054,0.000717664210473503,0.00134022824437604,-1.69377155174572
PDCL3 /// PDCL3P4,-0.142661435738254,8.0126413603885,-3.46223883118488,0.000718137552742142,0.00134092691700885,-1.69438873821676
GAR1,0.149143448312108,8.27478716864772,3.4621185419942,0.000718432166526362,0.00134129171579,-1.69477267486151
UQCR10,-0.112594203918745,10.1686815443402,-3.46081191441887,0.000721639698352154,0.00134709399492118,-1.69894242409941
GOT2,0.165841981490556,10.1754950729018,3.46015820383426,0.000723249482203751,0.00134991254688354,-1.70102807098511
ERC2,0.163042128761237,4.1676146715252,3.45918027957229,0.000725663951385656,0.0013542320219521,-1.70414749812328
CHD7,0.114543400378948,5.51486134242737,3.45855393248993,0.000727214361067006,0.00135693802151327,-1.7061450609836
ATP10D,-0.193475917387533,8.22235097927774,-3.45829410601714,0.00072785842741103,0.00135795232557428,-1.70697361772573
PLXNB3,0.112008978847016,5.23091096909882,3.45794607341649,0.000728721981490482,0.00135937578741806,-1.7080833720796
FAM193B,-0.131172710075541,7.34619625764098,-3.45664968049849,0.000731947125210736,0.00136516164236751,-1.7122162938901
CSRP2,-0.264364210781897,9.33156180388779,-3.4566181903293,0.000732025632425997,0.00136516164236751,-1.71231666893509
HSD17B11,0.247751659922321,7.5650293994202,3.45545931213998,0.000734920304607546,0.00137037084944412,-1.71601006580834
FBXO38,-0.0760418562601129,6.20601012080855,-3.45527480001505,0.000735382174034217,0.0013710429137912,-1.71659801861505
BCL7C,0.108588396651419,8.32135491189324,3.45508140302837,0.000735866576587582,0.0013717567975974,-1.71721425507205
ZC2HC1A,-0.199995392727414,6.99476108641957,-3.4541736877907,0.000738144142797539,0.00137581272788701,-1.7201061958762
ZNF205,0.0861395036356478,5.66760528762578,3.45387055152634,0.000738906221388413,0.00137690578484452,-1.72107183303749
TPPP3,-0.495171156778863,7.42660593882962,-3.45385937070553,0.000738934343875493,0.00137690578484452,-1.72110744806025
VNN1,0.322264534506881,4.28800997837604,3.45379429226813,0.000739098051946425,0.0013770209776752,-1.72131474488186
HIST1H3F,0.102287958728335,3.64679562556463,3.45325945471224,0.000740444753406807,0.00137933988177712,-1.72301825946272
EHD2,0.106309710924375,7.86249576292495,3.4531173543188,0.000740802944274932,0.00137981695036876,-1.72347082722654
CATSPERG,-0.0584769037283057,4.47565517233029,-3.45072379368908,0.000746860873672526,0.00139090873745131,-1.73109160473606
CPNE6,-0.0679160021483933,5.49817288489646,-3.45037804256276,0.000747739780226079,0.00139235369657694,-1.73219206452833
OR1A2,-0.0685266848204887,4.01347865477165,-3.45022515925024,0.000748128722371566,0.00139280704550453,-1.73267863347538
CHRNA3,-0.0717192801381138,5.5629413691526,-3.45020133231325,0.00074818935629766,0.00139280704550453,-1.73275446385152
BTN2A2,0.07713959854768,5.31614911546552,3.45015490610567,0.000748307513284085,0.00139283515246308,-1.73290221623692
SEMA3D,0.0893274770227712,3.65191792293114,3.44971924841738,0.000749417137539235,0.00139470842933665,-1.73428862492721
MOB3B,-0.124199248329167,6.92220259364419,-3.44920998509441,0.000750716194591616,0.00139693368716862,-1.73590908558062
